Source IP: 127.0.0.1, Source Port: 60818, Dest IP: 127.0.0.1, Dest Port: 60815, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60815, Dest IP: 127.0.0.1, Dest Port: 60818, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60818, Dest IP: 127.0.0.1, Dest Port: 60815, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60815, Dest IP: 127.0.0.1, Dest Port: 60818, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60816, Dest IP: 127.0.0.1, Dest Port: 60817, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60817, Dest IP: 127.0.0.1, Dest Port: 60816, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60817, Dest IP: 127.0.0.1, Dest Port: 60816, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60816, Dest IP: 127.0.0.1, Dest Port: 60817, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60815, Dest IP: 127.0.0.1, Dest Port: 60818, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60818, Dest IP: 127.0.0.1, Dest Port: 60815, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60818, Dest IP: 127.0.0.1, Dest Port: 60815, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60815, Dest IP: 127.0.0.1, Dest Port: 60818, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60818, Dest IP: 127.0.0.1, Dest Port: 60815, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60815, Dest IP: 127.0.0.1, Dest Port: 60818, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60816, Dest IP: 127.0.0.1, Dest Port: 60817, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60817, Dest IP: 127.0.0.1, Dest Port: 60816, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60817, Dest IP: 127.0.0.1, Dest Port: 60816, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60816, Dest IP: 127.0.0.1, Dest Port: 60817, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60818, Dest IP: 127.0.0.1, Dest Port: 60815, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60815, Dest IP: 127.0.0.1, Dest Port: 60818, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60815, Dest IP: 127.0.0.1, Dest Port: 60818, Protocol: (6, 20)
Source IP: 127.0.0.1, Source Port: 60818, Dest IP: 127.0.0.1, Dest Port: 60815, Protocol: (6, 20)
Source IP: 0.0.0.0, Source Port: None, Dest IP: 224.0.0.1, Dest Port: None, Protocol: (2, 24)
Source IP: 192.168.1.100, Source Port: None, Dest IP: 224.0.0.22, Dest Port: None, Protocol: (2, 24)
